제목,카테고리,카테고리1,지역명,시군구명,개요,위도,경도
팜스팜스,음식점,서양식,서울,서초구,"150여가지의 신선하고 다양한 세계요리를 제공하는 씨푸드 뷔페이다.200여석의 개별 테이블과 6개의 소규모 별실 및 4개의 개별 연회장이 별도로 있어 하우스 웨딩, 돌잔치 등 각종 연회와 파티행사에 적합한 곳이다.",37.4840734,127.0150849
태종대짬뽕,음식점,중식,부산,영도구,"부산 태종대 버스 종점에 위치한 업소로 부산 지역의 신선한 해산물로 우려낸 육수로 특유의 시원한 맛을 내는 부산에서 이름난 짬뽕 전문집이다. 여러 종류의 해물이 올라간 태종대짬뽕이 대표메뉴이고, 주문시 매운맛을 선택할 수 있다. ",35.062902,129.0792893
패션5 (Passion 5),커피/음료점,카페/전통찻집,서울,용산구,"한남동 한강진역 부근에 위치한 패션5(Passion5)는 파리바게뜨, 던킨도너츠, 베스킨라빈스를 비롯하여 커피전문점 파스쿠찌,이탈리안 그릴요리 전문 레스토랑 라그릴리아 등을 운영하고 있는 식품전문업체인 SPC그룹에서 오픈한 프리미엄 디저트 갤러리 카페이다.패션5는 빵, 과자, 케익류와 같은 베이커리 매장에 새로운 디저트 문화를 도입하여, 수제 초콜릿과 푸딩을 비롯한다양한 디저트 제품을 선보여 마치 갤러리를 관람하 듯 이동하며 고르는 재미를 만끽할 수 있도록 하였다.패션5의 매장은 빵(Bakery)과 케이크(Patisserie), 초콜릿(Chocolat), 커피(Cafe)를 파는 4가지 섹션으로 구성되어 있으며,여기에 만드는 이들의 열정(Passion)이 더해지는 공간이라는 의미에서 붙여진 이름이라고 한다.br매장의 진열도 상당히 화려하고 다양한 음식이 진열되어 있다. 섹션별로 분위기가 모두 다르다.프랑스, 독일 등 세계 각국의 특색있는 각종 베이커리는 물론 다양한 케이크, 푸딩,수제 초콜릿 등 3~400여 종류의 디저트를 만날 수 있다.",37.5386849,126.9997681
파툼(FATUM),커피/음료점,카페/전통찻집,서울,종로구,"삼청동에서 경치가 좋기로 소문난 카페이다. 1층은 자연바위, 2층은 편안한 의자, 3,4층은 실내에서 경치 조망, 5층은 실외에서 경치조망을 할 수 있도록 각 층별로 색다른 인테리어가 돋보이는 장소이다. 북악산과 인왕산, 경복궁 등이 한 눈에 보이는 곳으로 계절별로도 자연경치를 감상할 수 있으며 일몰 때는 환상적이다.",37.5831717,126.9799744
상파울루,음식점,서양식,서울,종로구,"남미 음식 슈하스꼬 전문점, 스테이크 무한리필 상파울루. 슈하스꼬란? 브라질식 그릴 스테이크 코스요리로 여러 종류의 고기를 꼬치에 끼워서 숯불에 구워 요리사가 홀을 돌면서 익힌 고기를 손님들에게 직접 서빙하고 스테이크와 과일등을 무한리필로 제공하는 음식이다. 대학로점에서는 와인 아카데미를 무료로 운영하고 착한 가격으로 와인을 즐길 수 있는 기회를 제공하고 있다. 이국적인 소품과 인테리어로 남미의 음식과 분위기를 만끽할 수 있는 곳이며, 외국인들의 출입이 많은 곳이다.",37.5830842,126.9991323
체리보이,음식점,서양식,경기도,가평군," 체리보이카페는 새벽까지 생음악이 흐르는 라이브 뮤직 카페로 창 밖으로는 청평호반이 보이고, 테라스에는 파라솔이 있는 테이블이 있다. ",37.6648144,127.3783083
도원중화요리,음식점,중식,경기도,가평군,도원중화요리는 가평 터미널의 인근 50m거리에 위치한 음식점으로 이 집에서는 독특하게 맥반석으로 구워 만든 도자기 쟁반을 이용하여 음식을 담아내는 메뉴가 있다.,37.8252907,127.5117766
산이좋은사람들,음식점,서양식,경기도,가평군,"경기도 가평의 명소인 운악산 현등사 입구에 위치한 아늑한 분위기가 멋스러운 원목의 카페 레스토랑인 산이 좋은 사람들은 가족, 연인, 친구와 함께 편안하고 즐거운 시간을 보낼 수 있는 곳이다. ",37.8660604,127.3470137
끈과끈사이,음식점,서양식,경기도,가평군,"끈과끈사이는 식사를 하며 포켓볼을 즐길 수 있는 곳이다. 가족, 연인, 친구와 함께 방문하여 좋은 시간을 보낼 수 있고, 단체회식장소로도 적합한 곳이다. 음식점의 외경은 조경이 잘 가꾸어져 있으며, 야외테라스에는 테이블이 마련되어 있고, 실내는 운치있고 아늑한 분위기이다. ",37.8114305,127.471281
문향,커피/음료점,카페/전통찻집,경기도,용인시,경기도 용인시 수지구 신봉동 광교산 인접에 위치한 전통 한옥으로 된 카페이다. ,37.3329813,127.0486414
